sample,gas,branch,pressure,pressure_unit,uptake
MOF-1,N2,adsorption,0.0,P/P0,0.0
MOF-1,N2,adsorption,0.09091,P/P0,77.5862
MOF-1,N2,adsorption,0.18182,P/P0,108.4337
MOF-1,N2,adsorption,0.27273,P/P0,125.0
MOF-1,N2,adsorption,0.36364,P/P0,135.3383
MOF-1,N2,adsorption,0.45455,P/P0,142.4051
MOF-1,N2,adsorption,0.54545,P/P0,147.541
MOF-1,N2,adsorption,0.63636,P/P0,151.4423
MOF-1,N2,adsorption,0.72727,P/P0,154.5064
MOF-1,N2,adsorption,0.81818,P/P0,156.9767
MOF-1,N2,adsorption,0.90909,P/P0,159.0106
MOF-1,N2,adsorption,1.0,P/P0,160.7143
MOF-1,N2,desorption,0.0,P/P0,0.0
MOF-1,N2,desorption,0.09091,P/P0,66.9291
MOF-1,N2,desorption,0.18182,P/P0,96.0452
MOF-1,N2,desorption,0.27273,P/P0,112.3348
MOF-1,N2,desorption,0.36364,P/P0,122.7437
MOF-1,N2,desorption,0.45455,P/P0,129.9694
MOF-1,N2,desorption,0.54545,P/P0,135.2785
MOF-1,N2,desorption,0.63636,P/P0,139.3443
MOF-1,N2,desorption,0.72727,P/P0,142.5577
MOF-1,N2,desorption,0.81818,P/P0,145.1613
MOF-1,N2,desorption,0.90909,P/P0,147.3137
MOF-1,N2,desorption,1.0,P/P0,149.1228
